"","word","freq","first_Nmin1","last"
"1","of the",2639,"of","the"
"2","in the",2417,"in","the"
"3","i am",2385,"i","am"
"4","it is",1806,"it","is"
"5","to the",1402,"to","the"
"6","for the",1364,"for","the"
"7","on the",1306,"on","the"
"8","i have",1251,"i","have"
"9","do not",1188,"do","not"
"10","to be",1140,"to","be"
"11","is a",932,"is","a"
"12","at the",892,"at","the"
"13","you are",872,"you","are"
"14","and i",832,"and","i"
"15","i was",798,"i","was"
"16","and the",769,"and","the"
"17","it was",762,"it","was"
"18","in a",738,"in","a"
"19","will be",726,"will","be"
"20","that is",723,"that","is"
"21","if you",709,"if","you"
"22","i will",686,"i","will"
"23","with the",660,"with","the"
"24","is the",638,"is","the"
"25","for a",637,"for","a"
"26","going to",628,"going","to"
"27","have a",625,"have","a"
"28","can not",609,"can","not"
"29","that i",583,"that","i"
"30","i can",565,"i","can"
"31","from the",561,"from","the"
"32","but i",555,"but","i"
"33","to get",545,"to","get"
"34","we are",542,"we","are"
"35","i do",535,"i","do"
"36","is not",533,"is","not"
"37","want to",511,"want","to"
"38","of a",495,"of","a"
"39","you can",493,"you","can"
"40","i think",491,"i","think"
"41","i would",491,"i","would"
"42","one of",485,"one","of"
"43","i love",479,"i","love"
"44","this is",470,"this","is"
"45","have been",467,"have","been"
"46","have to",465,"have","to"
"47","you have",459,"you","have"
"48","to do",458,"to","do"
"49","to see",445,"to","see"
"50","thanks for",441,"thanks","for"
"51","did not",429,"did","not"
"52","there is",429,"there","is"
"53","with a",429,"with","a"
"54","when i",409,"when","i"
"55","so i",402,"so","i"
"56","all the",395,"all","the"
"57","of my",395,"of","my"
"58","out of",393,"out","of"
"59","in my",386,"in","my"
"60","was a",386,"was","a"
"61","i had",385,"i","had"
"62","the same",383,"the","same"
"63","they are",379,"they","are"
"64","as a",374,"as","a"
"65","to make",374,"to","make"
"66","thank you",369,"thank","you"
"67","that the",368,"that","the"
"68","i just",365,"i","just"
"69","need to",365,"need","to"
"70","a great",358,"a","great"
"71","he is",357,"he","is"
"72","on a",351,"on","a"
"73","be a",349,"be","a"
"74","by the",347,"by","the"
"75","a little",343,"a","little"
"76","the first",340,"the","first"
"77","would be",336,"would","be"
"78","a few",334,"a","few"
"79","and a",334,"and","a"
"80","i know",326,"i","know"
"81","a lot",322,"a","lot"
"82","a good",321,"a","good"
"83","we have",318,"we","have"
"84","to go",307,"to","go"
"85","to a",306,"to","a"
"86","do you",304,"do","you"
"87","so much",304,"so","much"
"88","does not",303,"does","not"
"89","like a",302,"like","a"
"90","to have",295,"to","have"
"91","what is",291,"what","is"
"92","on my",288,"on","my"
"93","about the",287,"about","the"
"94","i did",286,"i","did"
"95","the best",286,"the","best"
"96","if i",284,"if","i"
"97","are you",281,"are","you"
"98","had a",277,"had","a"
"99","the world",272,"the","world"
"100","you know",270,"you","know"
"101","to my",266,"to","my"
"102","am not",264,"am","not"
"103","i want",263,"i","want"
"104","to me",259,"to","me"
"105","we will",256,"we","will"
"106","when you",254,"when","you"
"107","for me",250,"for","me"
"108","i could",250,"i","could"
"109","you will",250,"you","will"
"110","has been",249,"has","been"
"111","he was",247,"he","was"
"112","back to",246,"back","to"
"113","what i",239,"what","i"
"114","as the",234,"as","the"
"115","is that",231,"is","that"
"116","trying to",230,"trying","to"
"117","there are",227,"there","are"
"118","time to",227,"time","to"
"119","into the",226,"into","the"
"120","she is",225,"she","is"
"121","the new",225,"the","new"
"122","a new",223,"a","new"
"123","and it",222,"and","it"
"124","right now",222,"right","now"
"125","the most",222,"the","most"
"126","the other",219,"the","other"
"127","i got",218,"i","got"
"128","the way",218,"the","way"
"129","and then",217,"and","then"
"130","but it",217,"but","it"
"131","not have",217,"not","have"
"132","as i",216,"as","i"
"133","go to",215,"go","to"
"134","let us",214,"let","us"
"135","was not",214,"was","not"
"136","all of",213,"all","of"
"137","able to",211,"able","to"
"138","i need",210,"i","need"
"139","lot of",209,"lot","of"
"140","will not",208,"will","not"
"141","that you",207,"that","you"
"142","are not",206,"are","not"
"143","me to",206,"me","to"
"144","some of",204,"some","of"
"145","the time",202,"the","time"
"146","you do",202,"you","do"
"147","as well",197,"as","well"
"148","the last",197,"the","last"
"149","not be",196,"not","be"
"150","over the",196,"over","the"
"151","more than",194,"more","than"
"152","for you",191,"for","you"
"153","of course",191,"of","course"
"154","love you",190,"love","you"
"155","of this",190,"of","this"
"156","i hope",189,"i","hope"
"157","way to",188,"way","to"
"158","a bit",187,"a","bit"
"159","not a",186,"not","a"
"160","part of",186,"part","of"
"161","in this",183,"in","this"
"162","that it",183,"that","it"
"163","was the",183,"was","the"
"164","and we",182,"and","we"
"165","it will",181,"it","will"
"166","the next",181,"the","next"
"167","to take",180,"to","take"
"168","how to",179,"how","to"
"169","with my",179,"with","my"
"170","that was",177,"that","was"
"171","you to",177,"you","to"
"172","at least",176,"at","least"
"173","should be",176,"should","be"
"174","had to",175,"had","to"
"175","the end",174,"the","end"
"176","i dont",173,"i","dont"
"177","are the",172,"are","the"
"178","i feel",172,"i","feel"
"179","at a",169,"at","a"
"180","be the",168,"be","the"
"181","like to",168,"like","to"
"182","the day",168,"the","day"
"183","because i",167,"because","i"
"184","kind of",167,"kind","of"
"185","get a",166,"get","a"
"186","last night",166,"last","night"
"187","up to",166,"up","to"
"188","i really",165,"i","really"
"189","is so",164,"is","so"
"190","not wait",164,"not","wait"
"191","can be",163,"can","be"
"192","not know",163,"not","know"
"193","wanted to",163,"wanted","to"
"194","what you",163,"what","you"
"195","to say",162,"to","say"
"196","we can",162,"we","can"
"197","is going",161,"is","going"
"198","i like",160,"i","like"
"199","that we",160,"that","we"
"200","the only",159,"the","only"
"201","do it",157,"do","it"
"202","of our",157,"of","our"
"203","such a",156,"such","a"
"204","to work",156,"to","work"
"205","me and",155,"me","and"
"206","like the",154,"like","the"
"207","see you",154,"see","you"
"208","they were",154,"they","were"
"209","but the",153,"but","the"
"210","in your",153,"in","your"
"211","for my",152,"for","my"
"212","have the",152,"have","the"
"213","is it",152,"is","it"
"214","they have",150,"they","have"
"215","i thought",149,"i","thought"
"216","now i",148,"now","i"
"217","who is",147,"who","is"
"218","and you",146,"and","you"
"219","it to",146,"it","to"
"220","of your",146,"of","your"
"221","think i",146,"think","i"
"222","through the",146,"through","the"
"223","a very",145,"a","very"
"224","forward to",145,"forward","to"
"225","i hate",145,"i","hate"
"226","not to",145,"not","to"
"227","of you",145,"of","you"
"228","to you",145,"to","you"
"229","did you",144,"did","you"
"230","of them",144,"of","them"
"231","you and",144,"you","and"
"232","and that",143,"and","that"
"233","in his",142,"in","his"
"234","in our",142,"in","our"
"235","would have",142,"would","have"
"236","is to",141,"is","to"
"237","this week",141,"this","week"
"238","you want",141,"you","want"
"239","my life",140,"my","life"
"240","up the",139,"up","the"
"241","i get",138,"i","get"
"242","that they",138,"that","they"
"243","me i",137,"me","i"
"244","are a",136,"are","a"
"245","got a",136,"got","a"
"246","i guess",136,"i","guess"
"247","not the",136,"not","the"
"248","of it",136,"of","it"
"249","am a",135,"am","a"
"250","of all",135,"of","all"
"251","follow me",134,"follow","me"
"252","for your",134,"for","your"
"253","make a",134,"make","a"
"254","the one",134,"the","one"
"255","up with",134,"up","with"
"256","when the",134,"when","the"
"257","with you",133,"with","you"
"258","it would",132,"it","would"
"259","know what",132,"know","what"
"260","she was",132,"she","was"
"261","there was",132,"there","was"
"262","to know",132,"to","know"
"263","end of",131,"end","of"
