"","word","freq","first_Nmin1","last","first","first2","first3","first4","second","third","fourth","fifth"
"1","i can not wait to see",10,"i can not wait to","see","i","i can","i can not","i can not wait","can","not","wait","to"
"2","can not wait to see you",7,"can not wait to see","you","can","can not","can not wait","can not wait to","not","wait","to","see"
"3","i do not want to be",7,"i do not want to","be","i","i do","i do not","i do not want","do","not","want","to"
"4","in the middle of the night",7,"in the middle of the","night","in","in the","in the middle","in the middle of","the","middle","of","the"
"5","hope you have a great day",6,"hope you have a great","day","hope","hope you","hope you have","hope you have a","you","have","a","great"
"6","i am not the only one",6,"i am not the only","one","i","i am","i am not","i am not the","am","not","the","only"
"7","on the other side of the",6,"on the other side of","the","on","on the","on the other","on the other side","the","other","side","of"
"8","can not wait to see what",5,"can not wait to see","what","can","can not","can not wait","can not wait to","not","wait","to","see"
"9","happy mothers day to all the",5,"happy mothers day to all","the","happy","happy mothers","happy mothers day","happy mothers day to","mothers","day","to","all"
"10","i just finished a mi run",5,"i just finished a mi","run","i","i just","i just finished","i just finished a","just","finished","a","mi"
"11","it is going to be a",5,"it is going to be","a","it","it is","it is going","it is going to","is","going","to","be"
"12","just finished a mi run with",5,"just finished a mi run","with","just","just finished","just finished a","just finished a mi","finished","a","mi","run"
"13","up in the middle of the",5,"up in the middle of","the","up","up in","up in the","up in the middle","in","the","middle","of"
"14","at the end of the day",4,"at the end of the","day","at","at the","at the end","at the end of","the","end","of","the"
"15","for the rest of your life",4,"for the rest of your","life","for","for the","for the rest","for the rest of","the","rest","of","your"
"16","hope everyone is having a great",4,"hope everyone is having a","great","hope","hope everyone","hope everyone is","hope everyone is having","everyone","is","having","a"
"17","i am a big fan of",4,"i am a big fan","of","i","i am","i am a","i am a big","am","a","big","fan"
"18","if you do not have a",4,"if you do not have","a","if","if you","if you do","if you do not","you","do","not","have"
"19","incorporated in item c above pp",4,"incorporated in item c above","pp","incorporated","incorporated in","incorporated in item","incorporated in item c","in","item","c","above"
"20","may the th be with you",4,"may the th be with","you","may","may the","may the th","may the th be","the","th","be","with"
"21","thanks to everyone who came out",4,"thanks to everyone who came","out","thanks","thanks to","thanks to everyone","thanks to everyone who","to","everyone","who","came"
"22","this is going to be a",4,"this is going to be","a","this","this is","this is going","this is going to","is","going","to","be"
"23","we may or may not have",4,"we may or may not","have","we","we may","we may or","we may or may","may","or","may","not"
"24","you do not have to be",4,"you do not have to","be","you","you do","you do not","you do not have","do","not","have","to"
"25","a force to be reckoned with",3,"a force to be reckoned","with","a","a force","a force to","a force to be","force","to","be","reckoned"
"26","all you have to do is",3,"all you have to do","is","all","all you","all you have","all you have to","you","have","to","do"
"27","am still trying to figure out",3,"am still trying to figure","out","am","am still","am still trying","am still trying to","still","trying","to","figure"
"28","and i did not want to",3,"and i did not want","to","and","and i","and i did","and i did not","i","did","not","want"
"29","as far as i am concerned",3,"as far as i am","concerned","as","as far","as far as","as far as i","far","as","i","am"
"30","at the end of the tunnel",3,"at the end of the","tunnel","at","at the","at the end","at the end of","the","end","of","the"
"31","but at the end of the",3,"but at the end of","the","but","but at","but at the","but at the end","at","the","end","of"
"32","but i do not know if",3,"but i do not know","if","but","but i","but i do","but i do not","i","do","not","know"
"33","can not wait to see it",3,"can not wait to see","it","can","can not","can not wait","can not wait to","not","wait","to","see"
"34","can not wait to see the",3,"can not wait to see","the","can","can not","can not wait","can not wait to","not","wait","to","see"
"35","chicago illinois incorporated in item c",3,"chicago illinois incorporated in item","c","chicago","chicago illinois","chicago illinois incorporated","chicago illinois incorporated in","illinois","incorporated","in","item"
"36","do not know about you but",3,"do not know about you","but","do","do not","do not know","do not know about","not","know","about","you"
"37","do not want to be a",3,"do not want to be","a","do","do not","do not want","do not want to","not","want","to","be"
"38","finished a mi run with a",3,"finished a mi run with","a","finished","finished a","finished a mi","finished a mi run","a","mi","run","with"
"39","for the rest of the week",3,"for the rest of the","week","for","for the","for the rest","for the rest of","the","rest","of","the"
"40","have got to be kidding me",3,"have got to be kidding","me","have","have got","have got to","have got to be","got","to","be","kidding"
"41","havent been on here in forever",3,"havent been on here in","forever","havent","havent been","havent been on","havent been on here","been","on","here","in"
"42","hope all is well with you",3,"hope all is well with","you","hope","hope all","hope all is","hope all is well","all","is","well","with"
"43","hope you have an amazing day",3,"hope you have an amazing","day","hope","hope you","hope you have","hope you have an","you","have","an","amazing"
"44","i am going to have to",3,"i am going to have","to","i","i am","i am going","i am going to","am","going","to","have"
"45","i am so proud of him",3,"i am so proud of","him","i","i am","i am so","i am so proud","am","so","proud","of"
"46","i am still trying to figure",3,"i am still trying to","figure","i","i am","i am still","i am still trying","am","still","trying","to"
"47","i can not wait for the",3,"i can not wait for","the","i","i can","i can not","i can not wait","can","not","wait","for"
"48","i can not wait to get",3,"i can not wait to","get","i","i can","i can not","i can not wait","can","not","wait","to"
"49","i can not wait to go",3,"i can not wait to","go","i","i can","i can not","i can not wait","can","not","wait","to"
"50","i do not know how to",3,"i do not know how","to","i","i do","i do not","i do not know","do","not","know","how"
"51","i hope you have a great",3,"i hope you have a","great","i","i hope","i hope you","i hope you have","hope","you","have","a"
"52","i think i am going to",3,"i think i am going","to","i","i think","i think i","i think i am","think","i","am","going"
"53","i think it is safe to",3,"i think it is safe","to","i","i think","i think it","i think it is","think","it","is","safe"
"54","i will not go into detail",3,"i will not go into","detail","i","i will","i will not","i will not go","will","not","go","into"
"55","illinois incorporated in item c above",3,"illinois incorporated in item c","above","illinois","illinois incorporated","illinois incorporated in","illinois incorporated in item","incorporated","in","item","c"
"56","in case you did not know",3,"in case you did not","know","in","in case","in case you","in case you did","case","you","did","not"
"57","it is a way of life",3,"it is a way of","life","it","it is","it is a","it is a way","is","a","way","of"
"58","it would mean the world to",3,"it would mean the world","to","it","it would","it would mean","it would mean the","would","mean","the","world"
"59","know if you have any questions",3,"know if you have any","questions","know","know if","know if you","know if you have","if","you","have","any"
"60","know what it is like to",3,"know what it is like","to","know","know what","know what it","know what it is","what","it","is","like"
"61","light at the end of the",3,"light at the end of","the","light","light at","light at the","light at the end","at","the","end","of"
"62","look forward to seeing you there",3,"look forward to seeing you","there","look","look forward","look forward to","look forward to seeing","forward","to","seeing","you"
"63","mothers day to all the mothers",3,"mothers day to all the","mothers","mothers","mothers day","mothers day to","mothers day to all","day","to","all","the"
"64","the middle of the night and",3,"the middle of the night","and","the","the middle","the middle of","the middle of the","middle","of","the","night"
"65","think it is safe to say",3,"think it is safe to","say","think","think it","think it is","think it is safe","it","is","safe","to"
"66","this is a good place to",3,"this is a good place","to","this","this is","this is a","this is a good","is","a","good","place"
"67","we look forward to seeing you",3,"we look forward to seeing","you","we","we look","we look forward","we look forward to","look","forward","to","seeing"
"68","what is going on in the",3,"what is going on in","the","what","what is","what is going","what is going on","is","going","on","in"
"69","what is the best way to",3,"what is the best way","to","what","what is","what is the","what is the best","is","the","best","way"
"70","where is your favorite place to",3,"where is your favorite place","to","where","where is","where is your","where is your favorite","is","your","favorite","place"
"71","would mean the world to me",3,"would mean the world to","me","would","would mean","would mean the","would mean the world","mean","the","world","to"
"72","you do not want to be",3,"you do not want to","be","you","you do","you do not","you do not want","do","not","want","to"
"73","you have got to be kidding",3,"you have got to be","kidding","you","you have","you have got","you have got to","have","got","to","be"
"74","a boil lower the heat and",2,"a boil lower the heat","and","a","a boil","a boil lower","a boil lower the","boil","lower","the","heat"
"75","a citizen of the united states",2,"a citizen of the united","states","a","a citizen","a citizen of","a citizen of the","citizen","of","the","united"
