"","word","freq","first_Nmin1","last","first","first2","first3","second","third","fourth"
"1","can not wait to see",32,"can not wait to","see","can","can not","can not wait","not","wait","to"
"2","at the end of the",24,"at the end of","the","at","at the","at the end","the","end","of"
"3","i do not want to",23,"i do not want","to","i","i do","i do not","do","not","want"
"4","i can not wait to",20,"i can not wait","to","i","i can","i can not","can","not","wait"
"5","in the middle of the",19,"in the middle of","the","in","in the","in the middle","the","middle","of"
"6","i am not going to",15,"i am not going","to","i","i am","i am not","am","not","going"
"7","hope you have a great",14,"hope you have a","great","hope","hope you","hope you have","you","have","a"
"8","is going to be a",13,"is going to be","a","is","is going","is going to","going","to","be"
"9","thank you for the follow",12,"thank you for the","follow","thank","thank you","thank you for","you","for","the"
"10","do not want to be",10,"do not want to","be","do","do not","do not want","not","want","to"
"11","for the first time in",10,"for the first time","in","for","for the","for the first","the","first","time"
"12","i do not have a",10,"i do not have","a","i","i do","i do not","do","not","have"
"13","i do not think i",10,"i do not think","i","i","i do","i do not","do","not","think"
"14","if you are going to",10,"if you are going","to","if","if you","if you are","you","are","going"
"15","can not wait for the",9,"can not wait for","the","can","can not","can not wait","not","wait","for"
"16","can not wait to get",9,"can not wait to","get","can","can not","can not wait","not","wait","to"
"17","i am going to do",9,"i am going to","do","i","i am","i am going","am","going","to"
"18","i do not know if",9,"i do not know","if","i","i do","i do not","do","not","know"
"19","if you would like to",9,"if you would like","to","if","if you","if you would","you","would","like"
"20","it is going to be",9,"it is going to","be","it","it is","it is going","is","going","to"
"21","this is one of the",9,"this is one of","the","this","this is","this is one","is","one","of"
"22","for the rest of the",8,"for the rest of","the","for","for the","for the rest","the","rest","of"
"23","i do not know what",8,"i do not know","what","i","i do","i do not","do","not","know"
"24","i have been trying to",8,"i have been trying","to","i","i have","i have been","have","been","trying"
"25","if you are interested in",8,"if you are interested","in","if","if you","if you are","you","are","interested"
"26","if you have any questions",8,"if you have any","questions","if","if you","if you have","you","have","any"
"27","let me know if you",8,"let me know if","you","let","let me","let me know","me","know","if"
"28","the other side of the",8,"the other side of","the","the","the other","the other side","other","side","of"
"29","will not be able to",8,"will not be able","to","will","will not","will not be","not","be","able"
"30","you do not have to",8,"you do not have","to","you","you do","you do not","do","not","have"
"31","you do not want to",8,"you do not want","to","you","you do","you do not","do","not","want"
"32","every once in a while",7,"every once in a","while","every","every once","every once in","once","in","a"
"33","happy mothers day to all",7,"happy mothers day to","all","happy","happy mothers","happy mothers day","mothers","day","to"
"34","i am looking forward to",7,"i am looking forward","to","i","i am","i am looking","am","looking","forward"
"35","i am sure you will",7,"i am sure you","will","i","i am","i am sure","am","sure","you"
"36","i can not wait for",7,"i can not wait","for","i","i can","i can not","can","not","wait"
"37","i do not know how",7,"i do not know","how","i","i do","i do not","do","not","know"
"38","i feel like i am",7,"i feel like i","am","i","i feel","i feel like","feel","like","i"
"39","if you do not have",7,"if you do not","have","if","if you","if you do","you","do","not"
"40","is one of the most",7,"is one of the","most","is","is one","is one of","one","of","the"
"41","keep up the good work",7,"keep up the good","work","keep","keep up","keep up the","up","the","good"
"42","not wait to see you",7,"not wait to see","you","not","not wait","not wait to","wait","to","see"
"43","on the other side of",7,"on the other side","of","on","on the","on the other","the","other","side"
"44","the middle of the night",7,"the middle of the","night","the","the middle","the middle of","middle","of","the"
"45","you have a great day",7,"you have a great","day","you","you have","you have a","have","a","great"
