"","word","freq","first_Nmin1","last","first","first2","second","third"
"1","i am going to",97,"i am going","to","i","i am","am","going"
"2","thanks for the follow",71,"thanks for the","follow","thanks","thanks for","for","the"
"3","can not wait to",69,"can not wait","to","can","can not","not","wait"
"4","i do not know",62,"i do not","know","i","i do","do","not"
"5","at the same time",50,"at the same","time","at","at the","the","same"
"6","the end of the",49,"the end of","the","the","the end","end","of"
"7","is going to be",45,"is going to","be","is","is going","going","to"
"8","the rest of the",45,"the rest of","the","the","the rest","rest","of"
"9","at the end of",42,"at the end","of","at","at the","the","end"
"10","i would like to",42,"i would like","to","i","i would","would","like"
"11","do not want to",41,"do not want","to","do","do not","not","want"
"12","for the first time",41,"for the first","time","for","for the","the","first"
"13","in the middle of",41,"in the middle","of","in","in the","the","middle"
"14","i do not have",40,"i do not","have","i","i do","do","not"
"15","i can not wait",39,"i can not","wait","i","i can","can","not"
"16","if you do not",39,"if you do","not","if","if you","you","do"
"17","i would love to",38,"i would love","to","i","i would","would","love"
"18","i do not think",36,"i do not","think","i","i do","do","not"
"19","i do not want",35,"i do not","want","i","i do","do","not"
"20","thanks for the rt",34,"thanks for the","rt","thanks","thanks for","for","the"
"21","not wait to see",33,"not wait to","see","not","not wait","wait","to"
"22","thank you for the",33,"thank you for","the","thank","thank you","you","for"
"23","thank you so much",33,"thank you so","much","thank","thank you","you","so"
"24","is one of the",32,"is one of","the","is","is one","one","of"
"25","you are going to",29,"you are going","to","you","you are","are","going"
"26","can not wait for",28,"can not wait","for","can","can not","not","wait"
"27","i was going to",28,"i was going","to","i","i was","was","going"
"28","if you want to",28,"if you want","to","if","if you","you","want"
"29","one of my favorite",28,"one of my","favorite","one","one of","of","my"
"30","one of the most",28,"one of the","most","one","one of","of","the"
"31","when it comes to",28,"when it comes","to","when","when it","it","comes"
"32","to be able to",26,"to be able","to","to","to be","be","able"
"33","i think it is",25,"i think it","is","i","i think","think","it"
"34","do not have a",24,"do not have","a","do","do not","not","have"
"35","i am not sure",23,"i am not","sure","i","i am","am","not"
"36","but i do not",22,"but i do","not","but","but i","i","do"
"37","do not know what",22,"do not know","what","do","do not","not","know"
"38","you do not have",22,"you do not","have","you","you do","do","not"
"39","do not have to",21,"do not have","to","do","do not","not","have"
"40","i can not believe",21,"i can not","believe","i","i can","can","not"
"41","the middle of the",21,"the middle of","the","the","the middle","middle","of"
"42","what do you think",21,"what do you","think","what","what do","do","you"
"43","and i do not",20,"and i do","not","and","and i","i","do"
"44","i am trying to",20,"i am trying","to","i","i am","am","trying"
"45","i feel like i",20,"i feel like","i","i","i feel","feel","like"
"46","on the other hand",20,"on the other","hand","on","on the","the","other"
"47","going to be a",19,"going to be","a","going","going to","to","be"
"48","have a great weekend",19,"have a great","weekend","have","have a","a","great"
"49","hope you have a",19,"hope you have","a","hope","hope you","you","have"
"50","i will have to",19,"i will have","to","i","i will","will","have"
"51","to go to the",19,"to go to","the","to","to go","go","to"
"52","you have a great",19,"you have a","great","you","you have","have","a"
"53","a little bit of",18,"a little bit","of","a","a little","little","bit"
"54","as soon as i",18,"as soon as","i","as","as soon","soon","as"
"55","for the rest of",18,"for the rest","of","for","for the","the","rest"
"56","i had no idea",18,"i had no","idea","i","i had","had","no"
"57","i have to say",18,"i have to","say","i","i have","have","to"
"58","i wish i could",18,"i wish i","could","i","i wish","wish","i"
"59","hope to see you",17,"hope to see","you","hope","hope to","to","see"
"60","i am pretty sure",17,"i am pretty","sure","i","i am","am","pretty"
"61","i was able to",17,"i was able","to","i","i was","was","able"
"62","that is what i",17,"that is what","i","that","that is","is","what"
"63","you would like to",17,"you would like","to","you","you would","would","like"
"64","do not know how",16,"do not know","how","do","do not","not","know"
"65","i am in the",16,"i am in","the","i","i am","am","in"
"66","i am not going",16,"i am not","going","i","i am","am","not"
"67","i thought it was",16,"i thought it","was","i","i thought","thought","it"
"68","it is time for",16,"it is time","for","it","it is","is","time"
"69","it is time to",16,"it is time","to","it","it is","is","time"
"70","on top of the",16,"on top of","the","on","on top","top","of"
"71","thanks so much for",16,"thanks so much","for","thanks","thanks so","so","much"
"72","the best way to",16,"the best way","to","the","the best","best","way"
"73","we are going to",16,"we are going","to","we","we are","are","going"
"74","will be able to",16,"will be able","to","will","will be","be","able"
"75","am not going to",15,"am not going","to","am","am not","not","going"
"76","i did not have",15,"i did not","have","i","i did","did","not"
"77","i do not care",15,"i do not","care","i","i do","do","not"
"78","i do not like",15,"i do not","like","i","i do","do","not"
"79","i just want to",15,"i just want","to","i","i just","just","want"
"80","i think i am",15,"i think i","am","i","i think","think","i"
"81","on the other side",15,"on the other","side","on","on the","the","other"
"82","one of the best",15,"one of the","best","one","one of","of","the"
"83","was going to be",15,"was going to","be","was","was going","going","to"
"84","what is going on",15,"what is going","on","what","what is","is","going"
"85","a bit of a",14,"a bit of","a","a","a bit","bit","of"
"86","do not know if",14,"do not know","if","do","do not","not","know"
"87","find a way to",14,"find a way","to","find","find a","a","way"
"88","have a great day",14,"have a great","day","have","have a","a","great"
"89","i am not a",14,"i am not","a","i","i am","am","not"
"90","i have been a",14,"i have been","a","i","i have","have","been"
"91","if you are a",14,"if you are","a","if","if you","you","are"
"92","in front of the",14,"in front of","the","in","in front","front","of"
"93","in the first place",14,"in the first","place","in","in the","the","first"
"94","it is going to",14,"it is going","to","it","it is","is","going"
"95","looking forward to the",14,"looking forward to","the","looking","looking forward","forward","to"
"96","on my way to",14,"on my way","to","on","on my","my","way"
"97","thanks for following me",14,"thanks for following","me","thanks","thanks for","for","following"
"98","that i am not",14,"that i am","not","that","that i","i","am"
"99","to get out of",14,"to get out","of","to","to get","get","out"
"100","a lot of people",13,"a lot of","people","a","a lot","lot","of"
"101","are going to be",13,"are going to","be","are","are going","going","to"
"102","are you going to",13,"are you going","to","are","are you","you","going"
"103","as well as the",13,"as well as","the","as","as well","well","as"
"104","but i can not",13,"but i can","not","but","but i","i","can"
"105","did you know that",13,"did you know","that","did","did you","you","know"
"106","do not need to",13,"do not need","to","do","do not","not","need"
"107","feel like i am",13,"feel like i","am","feel","feel like","like","i"
"108","for a long time",13,"for a long","time","for","for a","a","long"
"109","for the sake of",13,"for the sake","of","for","for the","the","sake"
"110","hope all is well",13,"hope all is","well","hope","hope all","all","is"
"111","i did not even",13,"i did not","even","i","i did","did","not"
"112","i know it is",13,"i know it","is","i","i know","know","it"
"113","i was in the",13,"i was in","the","i","i was","was","in"
"114","if you are interested",13,"if you are","interested","if","if you","you","are"
"115","in the united states",13,"in the united","states","in","in the","the","united"
"116","let me know if",13,"let me know","if","let","let me","me","know"
"117","not want to be",13,"not want to","be","not","not want","want","to"
"118","thank you for your",13,"thank you for","your","thank","thank you","you","for"
"119","the top of the",13,"the top of","the","the","the top","top","of"
"120","there will be a",13,"there will be","a","there","there will","will","be"
"121","this is one of",13,"this is one","of","this","this is","is","one"
"122","you for the follow",13,"you for the","follow","you","you for","for","the"
"123","a lot of time",12,"a lot of","time","a","a lot","lot","of"
"124","but i am not",12,"but i am","not","but","but i","i","am"
"125","did not want to",12,"did not want","to","did","did not","not","want"
"126","do not think i",12,"do not think","i","do","do not","not","think"
"127","happy mothers day to",12,"happy mothers day","to","happy","happy mothers","mothers","day"
"128","have a lot of",12,"have a lot","of","have","have a","a","lot"
"129","i can not help",12,"i can not","help","i","i can","can","not"
"130","i dont want to",12,"i dont want","to","i","i dont","dont","want"
"131","i have no idea",12,"i have no","idea","i","i have","have","no"
"132","i just do not",12,"i just do","not","i","i just","just","do"
"133","i want to be",12,"i want to","be","i","i want","want","to"
"134","i wish i was",12,"i wish i","was","i","i wish","wish","i"
"135","if you are going",12,"if you are","going","if","if you","you","are"
"136","if you are not",12,"if you are","not","if","if you","you","are"
"137","is a lot of",12,"is a lot","of","is","is a","a","lot"
"138","it is hard to",12,"it is hard","to","it","it is","is","hard"
"139","looking forward to seeing",12,"looking forward to","seeing","looking","looking forward","forward","to"
"140","not be able to",12,"not be able","to","not","not be","be","able"
"141","that i do not",12,"that i do","not","that","that i","i","do"
"142","the bottom of the",12,"the bottom of","the","the","the bottom","bottom","of"
"143","the fact that i",12,"the fact that","i","the","the fact","fact","that"
"144","the first time in",12,"the first time","in","the","the first","first","time"
"145","was one of the",12,"was one of","the","was","was one","one","of"
"146","what is your favorite",12,"what is your","favorite","what","what is","is","your"
"147","you do not need",12,"you do not","need","you","you do","do","not"
"148","you know what i",12,"you know what","i","you","you know","know","what"
"149","and i can not",11,"and i can","not","and","and i","i","can"
"150","and i did not",11,"and i did","not","and","and i","i","did"
"151","as much as i",11,"as much as","i","as","as much","much","as"
"152","do not have any",11,"do not have","any","do","do not","not","have"
"153","do not have the",11,"do not have","the","do","do not","not","have"
