"","word","freq","first_Nmin1","last","first","second"
"1","i do not",382,"i do","not","i","do"
"2","thanks for the",238,"thanks for","the","thanks","for"
"3","one of the",222,"one of","the","one","of"
"4","i am not",208,"i am","not","i","am"
"5","i can not",206,"i can","not","i","can"
"6","a lot of",193,"a lot","of","a","lot"
"7","i have been",180,"i have","been","i","have"
"8","it is a",171,"it is","a","it","is"
"9","can not wait",154,"can not","wait","can","not"
"10","i did not",146,"i did","not","i","did"
"11","i want to",141,"i want","to","i","want"
"12","i will be",137,"i will","be","i","will"
"13","to be a",137,"to be","a","to","be"
"14","if you are",135,"if you","are","if","you"
"15","i am a",130,"i am","a","i","am"
"16","i have a",125,"i have","a","i","have"
"17","do not know",120,"do not","know","do","not"
"18","you do not",117,"you do","not","you","do"
"19","it is not",115,"it is","not","it","is"
"20","i am going",114,"i am","going","i","am"
"21","do not have",113,"do not","have","do","not"
"22","going to be",113,"going to","be","going","to"
"23","and i am",112,"and i","am","and","i"
"24","there is a",109,"there is","a","there","is"
"25","is going to",108,"is going","to","is","going"
"26","i have to",105,"i have","to","i","have"
"27","i love you",104,"i love","you","i","love"
"28","the end of",102,"the end","of","the","end"
"29","out of the",101,"out of","the","out","of"
"30","thank you for",100,"thank you","for","thank","you"
"31","am going to",97,"am going","to","am","going"
"32","be able to",97,"be able","to","be","able"
"33","but i am",97,"but i","am","but","i"
"34","i think i",94,"i think","i","i","think"
"35","it was a",93,"it was","a","it","was"
"36","i am so",92,"i am","so","i","am"
"37","i need to",91,"i need","to","i","need"
"38","for the follow",89,"for the","follow","for","the"
"39","looking forward to",89,"looking forward","to","looking","forward"
"40","some of the",86,"some of","the","some","of"
"41","in the world",84,"in the","world","in","the"
"42","are going to",83,"are going","to","are","going"
"43","would like to",83,"would like","to","would","like"
"44","as well as",81,"as well","as","as","well"
"45","the rest of",81,"the rest","of","the","rest"
"46","one of my",79,"one of","my","one","of"
"47","to go to",79,"to go","to","to","go"
"48","and it is",77,"and it","is","and","it"
"49","have a great",76,"have a","great","have","a"
"50","you have to",75,"you have","to","you","have"
"51","it is the",74,"it is","the","it","is"
"52","not wait to",74,"not wait","to","not","wait"
"53","to have a",72,"to have","a","to","have"
"54","but it is",71,"but it","is","but","it"
"55","i am in",70,"i am","in","i","am"
"56","that i am",69,"that i","am","that","i"
"57","there is no",69,"there is","no","there","is"
"58","i wanted to",68,"i wanted","to","i","wanted"
"59","not want to",68,"not want","to","not","want"
"60","if you have",67,"if you","have","if","you"
"61","would love to",67,"would love","to","would","love"
"62","that it is",66,"that it","is","that","it"
"63","you want to",66,"you want","to","you","want"
"64","back to the",65,"back to","the","back","to"
"65","part of the",64,"part of","the","part","of"
"66","this is a",64,"this is","a","this","is"
"67","it will be",63,"it will","be","it","will"
"68","the fact that",63,"the fact","that","the","fact"
"69","the first time",63,"the first","time","the","first"
"70","you have a",63,"you have","a","you","have"
"71","do not want",62,"do not","want","do","not"
"72","to see the",62,"to see","the","to","see"
"73","you can not",62,"you can","not","you","can"
"74","end of the",61,"end of","the","end","of"
"75","i had a",61,"i had","a","i","had"
"76","i had to",61,"i had","to","i","had"
"77","is not a",61,"is not","a","is","not"
"78","all of the",59,"all of","the","all","of"
"79","is one of",59,"is one","of","is","one"
"80","you need to",59,"you need","to","you","need"
"81","to see you",58,"to see","you","to","see"
"82","what do you",58,"what do","you","what","do"
"83","a couple of",57,"a couple","of","a","couple"
"84","in order to",57,"in order","to","in","order"
"85","will not be",57,"will not","be","will","not"
"86","and i have",56,"and i","have","and","i"
"87","it would be",56,"it would","be","it","would"
"88","that is a",56,"that is","a","that","is"
"89","to make a",56,"to make","a","to","make"
"90","at the same",55,"at the","same","at","the"
"91","i feel like",55,"i feel","like","i","feel"
"92","to be the",55,"to be","the","to","be"
"93","in front of",54,"in front","of","in","front"
"94","the same time",54,"the same","time","the","same"
"95","you are not",54,"you are","not","you","are"
"96","at the end",53,"at the","end","at","the"
"97","i could not",53,"i could","not","i","could"
"98","i think it",53,"i think","it","i","think"
"99","we will be",53,"we will","be","we","will"
"100","for the first",52,"for the","first","for","the"
"101","i wish i",52,"i wish","i","i","wish"
"102","if you do",52,"if you","do","if","you"
"103","if you want",52,"if you","want","if","you"
"104","that i have",52,"that i","have","that","i"
"105","was going to",52,"was going","to","was","going"
"106","when i was",52,"when i","was","when","i"
"107","a bit of",51,"a bit","of","a","bit"
"108","do not think",51,"do not","think","do","not"
"109","i would like",51,"i would","like","i","would"
"110","this is the",51,"this is","the","this","is"
"111","you are a",51,"you are","a","you","are"
"112","in the middle",50,"in the","middle","in","the"
"113","so i can",50,"so i","can","so","i"
"114","that is what",50,"that is","what","that","is"
"115","we do not",50,"we do","not","we","do"
"116","i know i",49,"i know","i","i","know"
"117","not going to",49,"not going","to","not","going"
"118","rest of the",49,"rest of","the","rest","of"
"119","so i am",49,"so i","am","so","i"
"120","want to be",49,"want to","be","want","to"
"121","i am sure",48,"i am","sure","i","am"
"122","i hope you",48,"i hope","you","i","hope"
"123","let me know",48,"let me","know","let","me"
"124","when you are",48,"when you","are","when","you"
"125","it was not",47,"it was","not","it","was"
"126","of the day",47,"of the","day","of","the"
"127","the middle of",47,"the middle","of","the","middle"
"128","to do it",47,"to do","it","to","do"
"129","to do with",47,"to do","with","to","do"
"130","and i will",46,"and i","will","and","i"
"131","for the rt",46,"for the","rt","for","the"
"132","to get a",46,"to get","a","to","get"
"133","i would have",45,"i would","have","i","would"
"134","i would love",45,"i would","love","i","would"
"135","that is not",44,"that is","not","that","is"
"136","look forward to",43,"look forward","to","look","forward"
"137","that is the",43,"that is","the","that","is"
"138","will be a",43,"will be","a","will","be"
"139","you so much",43,"you so","much","you","so"
"140","and that is",42,"and that","is","and","that"
"141","do not get",42,"do not","get","do","not"
"142","i got a",42,"i got","a","i","got"
"143","one of those",42,"one of","those","one","of"
"144","thanks for following",42,"thanks for","following","thanks","for"
"145","that i was",42,"that i","was","that","i"
"146","that you are",42,"that you","are","that","you"
"147","go to the",41,"go to","the","go","to"
"148","i have never",41,"i have","never","i","have"
"149","i love the",41,"i love","the","i","love"
"150","in the morning",41,"in the","morning","in","the"
"151","it does not",41,"it does","not","it","does"
"152","on the other",41,"on the","other","on","the"
"153","they do not",41,"they do","not","they","do"
"154","and it was",40,"and it","was","and","it"
"155","had a great",40,"had a","great","had","a"
"156","i will not",40,"i will","not","i","will"
"157","in the first",40,"in the","first","in","the"
"158","let us go",40,"let us","go","let","us"
"159","of the most",40,"of the","most","of","the"
"160","of the year",40,"of the","year","of","the"
